APD,MO,T,BKH,ED,DBD,DOV,BEN,LANC,NC,NWN,PPG,RPM,SWK,UBSI,UVV,WGL,ERIE,ESS,NNN,PRE
3/27/2013,6/12/2013,4/8/2013,5/15/2013,5/13/2013,5/15/2013,5/29/2013,6/20/2013,6/6/2013,5/29/2013,4/26/2013,5/8/2013,4/10/2013,6/3/2013,6/12/2013,4/4/2013,4/8/2013,7/2/2013,6/26/2013,4/26/2013,5/16/2013
12/28/2012,3/13/2013,1/8/2013,2/13/2013,2/11/2013,2/20/2013,2/26/2013,3/26/2013,3/6/2013,2/27/2013,1/29/2013,2/20/2013,12/13/2012,3/7/2013,3/6/2013,1/10/2013,1/8/2013,4/3/2013,3/26/2013,1/29/2013,2/14/2013
9/27/2012,12/21/2012,10/5/2012,11/14/2012,11/9/2012,11/14/2012,11/28/2012,12/12/2012,12/6/2012,11/28/2012,10/29/2012,11/7/2012,10/11/2012,12/5/2012,12/12/2012,10/4/2012,10/5/2012,12/5/2012,12/28/2012,10/29/2012,11/15/2012
6/28/2012,9/12/2012,7/6/2012,8/15/2012,8/13/2012,8/23/2012,8/29/2012,9/26/2012,9/5/2012,8/29/2012,7/27/2012,8/8/2012,7/11/2012,9/5/2012,9/12/2012,7/5/2012,7/6/2012,10/3/2012,9/26/2012,7/27/2012,8/16/2012
3/29/2012,6/13/2012,4/5/2012,5/16/2012,5/14/2012,5/10/2012,5/29/2012,6/27/2012,6/6/2012,5/30/2012,4/26/2012,5/8/2012,4/11/2012,6/4/2012,6/6/2012,4/4/2012,4/5/2012,7/3/2012,6/27/2012,4/26/2012,5/17/2012
12/29/2011,3/13/2012,1/6/2012,2/14/2012,2/13/2012,2/15/2012,2/27/2012,3/28/2012,3/7/2012,2/28/2012,1/27/2012,2/15/2012,1/11/2012,3/5/2012,3/7/2012,1/5/2012,1/6/2012,4/3/2012,3/28/2012,1/27/2012,2/15/2012
9/29/2011,12/22/2011,10/5/2011,11/15/2011,11/14/2011,11/16/2011,11/28/2011,12/15/2011,12/7/2011,11/29/2011,10/27/2011,11/8/2011,10/13/2011,11/30/2011,12/7/2011,10/6/2011,10/5/2011,1/3/2012,12/29/2011,10/27/2011,11/16/2011
6/29/2011,9/13/2011,7/6/2011,8/16/2011,8/15/2011,8/17/2011,8/29/2011,9/28/2011,9/7/2011,8/30/2011,7/27/2011,8/8/2011,7/13/2011,8/31/2011,9/7/2011,7/7/2011,7/18/2011,10/4/2011,9/28/2011,7/27/2011,8/17/2011
3/30/2011,6/13/2011,4/6/2011,5/16/2011,5/16/2011,5/11/2011,5/26/2011,6/28/2011,6/8/2011,5/27/2011,4/27/2011,5/6/2011,4/11/2011,5/27/2011,6/8/2011,4/7/2011,4/6/2011,7/1/2011,6/28/2011,4/27/2011,5/18/2011
12/30/2010,3/11/2011,1/6/2011,2/11/2011,2/14/2011,2/16/2011,2/24/2011,3/29/2011,3/8/2011,2/25/2011,1/27/2011,2/16/2011,1/12/2011,2/28/2011,3/9/2011,1/6/2011,1/6/2011,4/4/2011,3/29/2011,1/27/2011,2/16/2011
9/29/2010,12/23/2010,10/6/2010,11/15/2010,11/15/2010,11/17/2010,11/26/2010,12/29/2010,12/8/2010,11/29/2010,10/27/2010,11/8/2010,10/14/2010,12/1/2010,12/8/2010,10/7/2010,10/6/2010,1/3/2011,12/30/2010,10/27/2010,11/17/2010
6/29/2010,9/13/2010,7/7/2010,8/16/2010,8/16/2010,8/18/2010,8/27/2010,9/28/2010,9/8/2010,8/30/2010,7/28/2010,8/6/2010,7/14/2010,9/1/2010,9/8/2010,7/8/2010,7/7/2010,10/1/2010,9/28/2010,7/28/2010,8/18/2010
3/30/2010,6/11/2010,4/7/2010,5/14/2010,5/10/2010,5/12/2010,5/26/2010,6/28/2010,6/8/2010,5/27/2010,4/28/2010,5/6/2010,4/14/2010,5/28/2010,6/9/2010,4/8/2010,4/7/2010,7/1/2010,6/28/2010,4/28/2010,5/19/2010
12/30/2009,3/11/2010,1/6/2010,2/10/2010,2/12/2010,2/18/2010,2/24/2010,3/29/2010,3/8/2010,2/25/2010,1/27/2010,2/17/2010,1/13/2010,3/1/2010,3/10/2010,1/7/2010,1/6/2010,4/1/2010,3/29/2010,1/27/2010,2/17/2010
9/29/2009,12/28/2009,10/7/2009,11/13/2009,11/16/2009,11/18/2009,11/25/2009,12/29/2009,12/8/2009,11/27/2009,10/28/2009,11/6/2009,10/15/2009,12/2/2009,12/9/2009,10/8/2009,10/7/2009,12/31/2009,12/30/2009,10/28/2009,11/18/2009
6/29/2009,9/11/2009,7/8/2009,8/14/2009,8/17/2009,8/19/2009,8/27/2009,10/1/2009,9/8/2009,8/28/2009,7/29/2009,8/6/2009,7/15/2009,9/2/2009,9/9/2009,7/9/2009,7/8/2009,10/1/2009,9/28/2009,7/29/2009,8/19/2009
3/30/2009,6/11/2009,4/7/2009,5/14/2009,5/11/2009,5/13/2009,5/27/2009,6/26/2009,6/8/2009,5/28/2009,4/28/2009,5/7/2009,4/15/2009,6/1/2009,6/10/2009,4/8/2009,4/7/2009,7/1/2009,6/26/2009,4/28/2009,5/20/2009
12/30/2008,3/12/2009,1/7/2009,2/11/2009,2/13/2009,2/18/2009,2/25/2009,3/27/2009,3/6/2009,2/26/2009,1/28/2009,2/18/2009,1/14/2009,3/2/2009,3/11/2009,1/8/2009,1/7/2009,4/1/2009,3/27/2009,1/28/2009,2/18/2009
9/29/2008,12/22/2008,10/8/2008,11/12/2008,11/7/2008,11/13/2008,11/25/2008,12/29/2008,12/8/2008,11/26/2008,10/29/2008,11/6/2008,10/16/2008,12/3/2008,12/10/2008,10/9/2008,10/8/2008,12/31/2008,12/30/2008,10/29/2008,11/19/2008
6/27/2008,9/11/2008,7/8/2008,8/13/2008,8/11/2008,8/20/2008,8/27/2008,10/2/2008,9/8/2008,8/28/2008,7/29/2008,8/7/2008,7/10/2008,9/3/2008,9/10/2008,7/10/2008,7/8/2008,10/1/2008,9/26/2008,7/29/2008,8/19/2008
3/28/2008,6/11/2008,4/8/2008,5/14/2008,5/12/2008,5/7/2008,5/28/2008,6/26/2008,6/6/2008,5/29/2008,4/28/2008,5/8/2008,4/10/2008,6/2/2008,6/11/2008,4/10/2008,4/8/2008,7/1/2008,6/26/2008,4/28/2008,5/21/2008
12/28/2007,3/17/2008,1/8/2008,2/13/2008,2/11/2008,2/21/2008,2/27/2008,3/26/2008,3/6/2008,2/27/2008,1/29/2008,2/20/2008,1/10/2008,3/3/2008,3/12/2008,1/10/2008,1/8/2008,4/2/2008,3/27/2008,1/29/2008,2/20/2008
9/27/2007,12/21/2007,10/5/2007,11/14/2007,11/9/2007,11/14/2007,11/28/2007,12/26/2007,12/6/2007,11/28/2007,10/29/2007,11/7/2007,10/17/2007,12/5/2007,12/12/2007,10/4/2007,10/5/2007,1/2/2008,12/26/2007,10/29/2007,11/20/2007
6/28/2007,9/12/2007,7/6/2007,8/15/2007,8/13/2007,8/22/2007,8/29/2007,10/2/2007,9/6/2007,8/29/2007,7/27/2007,8/8/2007,7/11/2007,9/5/2007,9/12/2007,7/5/2007,7/6/2007,10/2/2007,9/26/2007,7/27/2007,8/17/2007
3/29/2007,6/13/2007,4/5/2007,5/16/2007,5/14/2007,5/9/2007,5/29/2007,6/27/2007,6/6/2007,5/30/2007,4/26/2007,5/8/2007,4/11/2007,6/4/2007,6/6/2007,4/4/2007,4/5/2007,7/3/2007,6/27/2007,4/26/2007,5/18/2007
12/28/2006,3/13/2007,1/8/2007,2/13/2007,2/12/2007,2/22/2007,2/26/2007,3/28/2007,3/7/2007,2/27/2007,1/29/2007,2/14/2007,1/10/2007,3/5/2007,3/7/2007,1/4/2007,1/8/2007,4/3/2007,3/28/2007,1/29/2007,2/14/2007
9/28/2006,12/22/2006,10/5/2006,11/15/2006,11/13/2006,11/15/2006,11/28/2006,12/26/2006,12/6/2006,11/29/2006,10/27/2006,11/8/2006,10/18/2006,12/6/2006,12/6/2006,10/5/2006,10/5/2006,1/3/2007,12/27/2006,10/27/2006,11/17/2006
6/29/2006,9/13/2006,7/6/2006,8/16/2006,8/14/2006,8/24/2006,8/29/2006,10/2/2006,9/6/2006,8/30/2006,7/27/2006,8/8/2006,7/12/2006,9/6/2006,9/6/2006,7/6/2006,7/6/2006,10/3/2006,9/27/2006,7/27/2006,8/18/2006
3/30/2006,6/13/2006,4/6/2006,5/16/2006,5/11/2006,5/10/2006,5/26/2006,6/30/2006,6/7/2006,5/30/2006,4/26/2006,5/8/2006,4/11/2006,6/5/2006,6/7/2006,4/6/2006,4/6/2006,7/3/2006,6/28/2006,4/26/2006,5/18/2006
