APD,MO,T,BKH,ED,DBD,DOV,BEN,LANC,NC,NWN,PPG,RPM,SWK,UBSI,UVV,WGL,ERIE,ESS,NNN,PRE
5/13/2013,7/10/2013,5/1/2013,6/1/2013,6/15/2013,6/7/2013,6/15/2013,7/8/2013,6/28/2013,6/14/2013,5/15/2013,6/12/2013,4/30/2013,6/18/2013,7/1/2013,5/13/2013,5/1/2013,7/19/2013,7/15/2013,5/15/2013,5/31/2013
2/11/2013,4/10/2013,2/1/2013,3/1/2013,3/15/2013,3/8/2013,3/15/2013,4/12/2013,3/29/2013,3/15/2013,2/15/2013,3/12/2013,12/28/2012,3/19/2013,4/1/2013,2/11/2013,2/1/2013,4/19/2013,4/15/2013,2/15/2013,3/1/2013
11/13/2012,1/10/2013,11/1/2012,12/1/2012,12/15/2012,12/7/2012,12/15/2012,12/31/2012,12/28/2012,12/14/2012,11/15/2012,12/12/2012,10/31/2012,12/11/2012,1/2/2013,11/12/2012,11/1/2012,12/21/2012,1/15/2013,11/15/2012,11/30/2012
8/13/2012,10/10/2012,8/1/2012,9/1/2012,9/15/2012,9/18/2012,9/15/2012,10/12/2012,9/28/2012,9/14/2012,8/15/2012,9/12/2012,7/31/2012,9/18/2012,10/1/2012,8/13/2012,8/1/2012,10/19/2012,10/15/2012,8/15/2012,8/31/2012
5/14/2012,7/10/2012,5/1/2012,6/1/2012,6/15/2012,6/4/2012,6/15/2012,7/13/2012,6/29/2012,6/15/2012,5/15/2012,6/12/2012,4/30/2012,6/19/2012,7/2/2012,5/14/2012,5/1/2012,7/20/2012,7/13/2012,5/15/2012,6/1/2012
2/13/2012,4/10/2012,2/1/2012,3/1/2012,3/15/2012,3/5/2012,3/15/2012,4/13/2012,3/30/2012,3/15/2012,2/15/2012,3/12/2012,1/31/2012,3/20/2012,4/2/2012,2/13/2012,2/1/2012,4/20/2012,4/13/2012,2/15/2012,3/1/2012
11/14/2011,1/10/2012,11/1/2011,12/1/2011,12/15/2011,12/9/2011,12/15/2011,12/30/2011,12/30/2011,12/15/2011,11/15/2011,12/12/2011,10/31/2011,12/13/2011,1/3/2012,11/14/2011,11/1/2011,1/20/2012,1/13/2012,11/15/2011,12/1/2011
8/8/2011,10/11/2011,8/1/2011,9/1/2011,9/15/2011,9/9/2011,9/15/2011,10/14/2011,9/30/2011,9/15/2011,8/15/2011,9/12/2011,7/29/2011,9/20/2011,10/3/2011,8/8/2011,8/1/2011,10/20/2011,10/14/2011,8/15/2011,9/1/2011
5/9/2011,7/11/2011,5/2/2011,6/1/2011,6/15/2011,6/3/2011,6/15/2011,7/15/2011,6/30/2011,6/15/2011,5/13/2011,6/10/2011,4/29/2011,6/21/2011,7/1/2011,5/9/2011,5/1/2011,7/20/2011,7/15/2011,5/16/2011,6/1/2011
2/14/2011,4/11/2011,2/1/2011,3/1/2011,3/15/2011,3/7/2011,3/15/2011,4/15/2011,3/31/2011,3/15/2011,2/15/2011,3/11/2011,1/31/2011,3/22/2011,4/1/2011,2/14/2011,2/1/2011,4/20/2011,4/15/2011,2/15/2011,3/1/2011
11/8/2010,1/10/2011,11/1/2010,12/1/2010,12/15/2010,12/10/2010,12/15/2010,1/7/2011,12/31/2010,12/15/2010,11/15/2010,12/10/2010,10/29/2010,12/14/2010,1/3/2011,11/8/2010,11/1/2010,1/20/2011,1/14/2011,11/15/2010,12/1/2010
