APD,MO,T,BKH,ED,DBD,DOV,BEN,LANC,NC,NWN,PPG,RPM,SWK,UBSI,UVV,WGL,ERIE,ESS,NNN,PRE
0.71,0.44,0.45,0.38,0.615,0.2875,0.35,0.29,0.4,0.25,0.455,0.61,0.225,0.49,0.31,0.5,0.42,0.5925,1.21,0.395,0.64
0.64,0.44,0.45,0.38,0.615,0.2875,0.35,0.29,0.38,0.25,0.455,0.59,0.225,0.49,0.31,0.5,0.4,0.5925,1.21,0.395,0.64
0.64,0.44,0.44,0.37,0.605,0.285,0.35,0.29,5.38,3.75,0.455,0.59,0.225,0.49,0.31,0.49,0.4,2.5925,1.1,0.395,0.62
0.64,0.44,0.44,0.37,0.605,0.285,0.35,0.27,0.36,0.5475,0.445,0.59,0.215,0.49,0.31,0.49,0.4,0.5525,1.1,0.395,0.62
0.64,0.41,0.44,0.37,0.605,0.285,0.315,0.27,0.36,0.5475,0.445,0.59,0.215,0.41,0.31,0.49,0.4,0.5525,1.1,0.385,0.62
0.58,0.41,0.44,0.37,0.605,0.285,0.315,0.27,0.36,0.5325,0.445,0.57,0.215,0.41,0.31,0.49,0.3875,0.5525,1.1,0.385,0.62
0.58,0.41,0.43,0.365,0.6,0.28,0.315,2.27,0.36,0.5325,0.445,0.57,0.215,0.41,0.31,0.48,0.3875,0.5525,1.04,0.385,0.6
0.58,0.41,0.43,0.365,0.6,0.28,0.315,0.25,0.33,0.5325,0.435,0.57,0.21,0.41,0.3,0.48,0.3875,0.515,1.04,0.385,0.6
0.58,0.38,0.43,0.365,0.6,0.28,0.275,0.25,0.33,0.5325,0.435,0.57,0.21,0.41,0.3,0.48,0.3875,0.515,1.04,0.38,0.6
0.49,0.38,0.43,0.365,0.6,0.28,0.275,0.25,0.33,0.5225,0.435,0.55,0.21,0.41,0.3,0.48,0.3775,0.515,1.04,0.38,0.55
0.49,0.38,0.42,0.36,0.595,0.27,0.275,0.25,0.33,0.5225,0.435,0.55,0.21,0.34,0.3,0.47,0.3775,0.515,1.0325,0.38,0.55
0.49,0.38,0.42,0.36,0.595,0.27,0.275,0.22,0.3,0.5225,0.415,0.55,0.205,0.34,0.3,0.47,0.3775,0.48,1.0325,0.38,0.5
0.49,0.35,0.42,0.36,0.595,0.27,0.26,0.22,0.3,0.5225,0.415,0.54,0.205,0.33,0.3,0.47,0.3775,0.48,1.0325,0.375,0.5
0.45,0.35,0.42,0.36,0.595,0.27,0.26,0.22,0.3,0.5175,0.415,0.54,0.205,0.33,0.3,0.47,0.3675,0.48,1.0325,0.375,0.5
0.45,0.34,0.41,0.355,0.59,0.26,0.26,0.22,0.3,0.5175,0.415,0.54,0.205,0.33,0.3,0.46,0.3675,0.48,1.03,0.375,0.47
0.45,0.34,0.41,0.355,0.59,0.26,0.26,0.21,0.285,0.5175,0.395,0.53,0.2,0.33,0.29,0.46,0.3675,0.45,1.03,0.375,0.47
